driverId,name,ssn,location,certified,wage-plan,hours-logged,miles-logged
10,George Vetticaden,621011971,244-4532 Nulla Rd.,N,miles,62.15384615384615,2829.8076923076924
11,Jamie Engesser,262112338,366-4125 Ac Street,N,miles,70.03846153846153,3448.076923076923
12,Paul Coddin,198041975,Ap #622-957 Risus. Street,Y,hours,50.75,2614.653846153846
13,Joe Niemiec,139907145,2071 Hendrerit. Ave,Y,hours,52.44230769230769,2579.346153846154
14,Adis Cesir,820812209,Ap #810-1228 In St.,Y,hours,53.48076923076923,2627.3846153846152
15,Rohit Bakshi,239005227,648-5681 Dui- Rd.,Y,hours,52.57692307692308,2668.269230769231
16,Tom McCuch,363303105,P.O. Box 313- 962 Parturient Rd.,Y,hours,52.80769230769231,2638.5576923076924
17,Eric Mizell,123808238,P.O. Box 579- 2191 Gravida. Street,Y,hours,51.94230769230769,2615.230769230769
18,Grant Liu,171010151,Ap #928-3159 Vestibulum Av.,Y,hours,51.03846153846154,2650.653846153846
19,Ajay Singh,160005158,592-9430 Nonummy Avenue,Y,hours,52.65384615384615,2653.230769230769
20,Chris Harris,921812303,883-2691 Proin Avenue,Y,hours,50.84615384615385,2587.769230769231
21,Jeff Markham,209408086,Ap #852-7966 Facilisis St.,Y,hours,52.90384615384615,2667.673076923077
22,Nadeem Asghar,783204269,154-9147 Aliquam Ave,Y,hours,52.55769230769231,2645.1923076923076
23,Adam Diaz,928312208,P.O. Box 260- 6127 Vitae Road,Y,hours,52.88461538461539,2653.4615384615386
24,Don Hilborn,254412152,4361 Ac Road,Y,hours,50.90384615384615,2585.7884615384614
25,Jean-Philippe Playe,913310051,P.O. Box 812- 6238 Ac Rd.,Y,hours,52.36538461538461,2676.5384615384614
26,Michael Aube,124705141,P.O. Box 213- 8948 Nec Ave,Y,hours,52.5,2644.8076923076924
27,Mark Lochbihler,392603159,8355 Ipsum St.,Y,hours,53.28846153846154,2652.346153846154
28,Olivier Renault,959908181,P.O. Box 243- 6509 Erat. Avenue,Y,hours,52.36538461538461,2643.6346153846152
29,Teddy Choi,185502192,P.O. Box 106- 7003 Amet Rd.,Y,hours,53.07692307692308,2658.75
30,Dan Rice,282307061,Ap #881-9267 Mollis Avenue,Y,hours,53.32692307692308,2643.7115384615386
31,Rommel Garcia,858912101,P.O. Box 945- 6015 Sociis St.,Y,hours,52.0,2635.7115384615386
32,Ryan Templeton,290304287,765-6599 Egestas. Av.,Y,hours,52.61538461538461,2642.730769230769
33,Sridhara Sabbella,967409015,Ap #477-2507 Sagittis Avenue,Y,hours,53.05769230769231,2678.5576923076924
34,Frank Romano,391407216,Ap #753-6814 Quis Ave,Y,hours,54.05769230769231,2648.6153846153848
35,Emil Siemes,971401151,321-2976 Felis Rd.,Y,hours,52.46153846153846,2667.826923076923
36,Andrew Grande,245303216,Ap #685-9598 Egestas Rd.,Y,hours,53.75,2654.326923076923
37,Wes Floyd,190504074,P.O. Box 269- 9611 Nulla Street,Y,hours,51.80769230769231,2638.903846153846
38,Scott Shaw,386411175,276 Lobortis Road,Y,hours,53.07692307692308,2643.5384615384614
39,David Kaiser,967706052,9185 At Street,Y,hours,52.78846153846154,2669.0
40,Nicolas Maillard,208510217,1027 Quis Rd.,Y,hours,51.92307692307692,2633.2884615384614
41,Greg Phillips,308103116,P.O. Box 847- 5961 Arcu. Road,Y,hours,52.36538461538461,2661.673076923077
42,Randy Gelhausen,853302254,145-4200 In- Avenue,Y,hours,51.86538461538461,2628.326923076923
43,Dave Patton,977706052,3028 A- St.,Y,hours,52.88461538461539,2634.480769230769
